term,coef,se,t,p,model,N,r2
mps_x_vi,7.37661056130217,1.36170685084448,5.41717959098719,7.96007897291636e-06,firm_sector_x_year,95284,0.309996890760218
vi_lag,1.26406805876464,0.295645601756527,4.27561936066154,0.000188420261680286,firm_sector_x_year,95284,0.309996890760218
log_size_lag,-0.260975502955297,0.00993374236242907,-26.2716198421197,9.03267813831031e-22,firm_sector_x_year,95284,0.309996890760218
leverage_lag,0.0472858174292629,0.00688345941059837,6.86948445667559,1.51371331358275e-07,firm_sector_x_year,95284,0.309996890760218
log_ppent_lag,0.0975453873794495,0.00652790586383636,14.9428299693837,3.70661515198381e-15,firm_sector_x_year,95284,0.309996890760218
log_cash_lag,0.0276153443540105,0.00186821272384773,14.7816916143974,4.89992836318352e-15,firm_sector_x_year,95284,0.309996890760218
mps_orth,0.214565263730219,0.0632615476074516,3.39171695674648,0.0020236991139614,firm_sector_mps,95334,0.270482460990296
mps_x_vi,2.96298846628745,1.17162105664155,2.52896484703071,0.0171360069588286,firm_sector_mps,95334,0.270482460990296
vi_lag,0.68166312118608,0.268812376045242,2.53583235718044,0.0168646624813799,firm_sector_mps,95334,0.270482460990296
log_size_lag,-0.240950572832591,0.0112676589754706,-21.3842621042343,2.65642316527213e-19,firm_sector_mps,95334,0.270482460990296
leverage_lag,0.0501443581238627,0.00671857024700035,7.46354600463554,3.17032158967878e-08,firm_sector_mps,95334,0.270482460990296
log_ppent_lag,0.0920553064156058,0.00711739396074977,12.9338500753594,1.43628206003287e-13,firm_sector_mps,95334,0.270482460990296
log_cash_lag,0.034525769447118,0.0021996586876477,15.6959666701926,1.03671560031037e-15,firm_sector_mps,95334,0.270482460990296
mps_orth,0.214565263730218,0.0632422993013912,3.39274925327546,0.00201826685125904,firm_mps,95334,0.270482460990297
mps_x_vi,2.96298846628747,1.17126457278148,2.52973455796675,0.0171053953984094,firm_mps,95334,0.270482460990297
vi_lag,0.681663121186079,0.268730585714739,2.5366041582988,0.0168344168128746,firm_mps,95334,0.270482460990297
log_size_lag,-0.240950572832591,0.0112642306156415,-21.3907705776201,2.63442443603743e-19,firm_mps,95334,0.270482460990297
leverage_lag,0.0501443581238627,0.00671652601790236,7.46581759531743,3.15167518871192e-08,firm_mps,95334,0.270482460990297
log_ppent_lag,0.0920553064156056,0.00711522838335734,12.9377865973951,1.42546020719775e-13,firm_mps,95334,0.270482460990297
log_cash_lag,0.034525769447118,0.00219898940740955,15.7007438647874,1.02853142893158e-15,firm_mps,95334,0.270482460990297
mps_x_vi,6.59882253291622,1.32840428487021,4.96748061420244,2.77660458577848e-05,firm_year_sector,95334,0.283567317103827
vi_lag,1.22203347753269,0.287916874046163,4.24439686482827,0.000205280281676013,firm_year_sector,95334,0.283567317103827
log_size_lag,-0.254614310833397,0.00996457676668418,-25.551944331914,1.95712449386092e-21,firm_year_sector,95334,0.283567317103827
leverage_lag,0.0480787438694055,0.00679006554712923,7.08074812175159,8.64167171769558e-08,firm_year_sector,95334,0.283567317103827
log_ppent_lag,0.0935517688890405,0.00679043457513576,13.7769928940329,2.94904693226662e-14,firm_year_sector,95334,0.283567317103827
log_cash_lag,0.0269469552619124,0.00200786638925452,13.4206914394923,5.70654806129773e-14,firm_year_sector,95334,0.283567317103827
